uid,sen_ratio,label
5d6490117d7dbe4bc489516a,0.0,-1
5d648f1f7d7dbe4bc486ac58,0.0002244668911335578,0
5d648fed7d7dbe4bc488f23c,0.0004489337822671156,-1
5d63c9ab4285a7c3318ae049,0.0026936026936026937,1
5d63c60a4285a7c3318a9a0e,0.014141414141414142,-1
5d648fa07d7dbe4bc4881bd2,0.0,-1
5d6386f34285a7c33182649f,0.0,-1
5d6490397d7dbe4bc489b230,0.0,-1
5d648d2a7d7dbe4bc4806012,0.002244668911335578,-1
5d6366944285a7c3317a34d9,0.0006734006734006734,-1
5d648f557d7dbe4bc487401e,0.0,-1
5d75152add07cce828f8753e,0.0038159371492704824,2
5d648d417d7dbe4bc480b7c1,0.0006734006734006734,3
5d648d4c7d7dbe4bc480e3ed,0.0,4
5d648e0d7d7dbe4bc4838817,0.0,20
5d648fc17d7dbe4bc4887f7c,0.0,1
5d63c6834285a7c3318aac5a,0.015712682379349047,-1
5d63c31c4285a7c3318a6d65,0.0,27
5d648c877d7dbe4bc47df494,0.0,1
5d648e5f7d7dbe4bc4849477,0.0006734006734006734,-1
5d648ecf7d7dbe4bc485c5b3,0.0,1
5d648ceb7d7dbe4bc47f7228,0.0,-1
5d6383664285a7c33181d595,0.0,5
5d648e007d7dbe4bc4835d63,0.0,1
5d648e9a7d7dbe4bc48532cb,0.0,1
5d6353fdea309cc86a3e017c,0.0,-1
5d63bf344285a7c3318a2807,0.0,-1
5d6376e64285a7c3317e5da3,0.0,-1
5d637fd14285a7c331811750,0.0002244668911335578,-1
5d648d2a7d7dbe4bc480607e,0.0,1
5d6395c94285a7c33184f71e,0.0004489337822671156,-1
5d648d137d7dbe4bc4800eb9,0.0,-1
5d63d8404285a7c3318c5224,0.0004489337822671156,-1
5d648cfb7d7dbe4bc47fbb47,0.0,-1
5d648eda7d7dbe4bc485e698,0.0,1
5d75152add07cce828f875e2,0.1367003367003367,2
5d6362d64285a7c33178797a,0.024242424242424242,-1
5d64905c7d7dbe4bc48a3feb,0.0,1
5d648db47d7dbe4bc4824e8e,0.0,-1
5d648e607d7dbe4bc48495fa,0.0,1
5d648e7a7d7dbe4bc484d541,0.0002244668911335578,7
5d648efb7d7dbe4bc4864535,0.0,1
5d63938e4285a7c331849958,0.0,4
5d63cff24285a7c3318b7a86,0.0002244668911335578,-1
5d648ca77d7dbe4bc47e7154,0.0,1
5d63d5c94285a7c3318bf775,0.0,-1
5d648dc67d7dbe4bc4828daf,0.0,6
5d648dba7d7dbe4bc4826287,0.0031425364758698093,7
5d648e9f7d7dbe4bc4854203,0.005836139169472503,25
5d63c7264285a7c3318ab52c,0.0,-1
5d648dfa7d7dbe4bc4834790,0.0013468013468013469,-1
5d6379f44285a7c3317f72dc,0.0,8
5d64904b7d7dbe4bc48a0c34,0.010774410774410775,-1
5d64907e7d7dbe4bc48a9791,0.0,1
5d648d577d7dbe4bc48107a6,0.0,1
5d648cea7d7dbe4bc47f70a8,0.006285072951739619,-1
5d648f197d7dbe4bc4869991,0.0,1
5d648ef47d7dbe4bc48631b9,0.0,-1
5d6364544285a7c3317957fd,0.0,1
5d648d987d7dbe4bc481ea2e,0.0,1
5d648e257d7dbe4bc483d297,0.0,1
5d635f0c4285a7c33176c641,0.002244668911335578,9
5d648d547d7dbe4bc481007a,0.0,10
5d648eeb7d7dbe4bc4861964,0.0,1
5d648ed87d7dbe4bc485e0d7,0.0004489337822671156,11
5d648f6c7d7dbe4bc4878bd8,0.0008978675645342312,-1
5d648dc87d7dbe4bc48293fb,0.0004489337822671156,-1
5d648ee57d7dbe4bc48608b8,0.0,1
5d6490237d7dbe4bc4897ddb,0.0,-1
5d6490107d7dbe4bc4894e30,0.0,1
5d6490107d7dbe4bc4894fbc,0.0,-1
5d63d9274285a7c3318c7081,0.0,12
5d63975b4285a7c331852a15,0.0,-1
5d648e2c7d7dbe4bc483e848,0.0,1
5d648fa27d7dbe4bc48822c7,0.001122334455667789,-1
5d6490097d7dbe4bc4893c3c,0.0006734006734006734,11
5d63a9454285a7c33187c00c,0.0,-1
5d648d0f7d7dbe4bc4800276,0.0,-1
5d648cbd7d7dbe4bc47ec81d,0.0,-1
5d637e7c4285a7c33180a5d8,0.0026936026936026937,-1
5d648f947d7dbe4bc487f98a,0.0017957351290684624,-1
